    0.1639344450E+01   -0.2011879309E-01    0.1986198028E+00    0.7336197641E-02
    0.1667196856E+01   -0.2046061069E-01    0.2083152356E+00    0.7596846193E-02
    0.1696174499E+01   -0.2081623773E-01    0.2182528732E+00    0.7867898879E-02
    0.1726322839E+01   -0.2118623209E-01    0.2284249915E+00    0.8149970639E-02
    0.1757689171E+01   -0.2157117423E-01    0.2388230807E+00    0.8443709946E-02
    0.1790322704E+01   -0.2197166803E-01    0.2494378736E+00    0.8749799523E-02
    0.1824274631E+01   -0.2238834178E-01    0.2602593785E+00    0.9068957023E-02
    0.1859598216E+01   -0.2282184914E-01    0.2712769182E+00    0.9401935662E-02
    0.1896348874E+01   -0.2327287021E-01    0.2824791735E+00    0.9749524835E-02
    0.1934584258E+01   -0.2374211253E-01    0.2938542307E+00    0.1011255069E-01
    0.1974364352E+01   -0.2423031223E-01    0.3053896343E+00    0.1049187670E-01
    0.2015751562E+01   -0.2473823521E-01    0.3170724425E+00    0.1088840419E-01
    0.2058810815E+01   -0.2526667827E-01    0.3288892859E+00    0.1130307291E-01
    0.2103609662E+01   -0.2581647044E-01    0.3408264292E+00    0.1173686154E-01
    0.2150218382E+01   -0.2638847420E-01    0.3528698343E+00    0.1219078831E-01
    0.2198710095E+01   -0.2698358692E-01    0.3650052253E+00    0.1266591148E-01
    0.2249160872E+01   -0.2760274219E-01    0.3772181536E+00    0.1316333005E-01
    0.2301649862E+01   -0.2824691134E-01    0.3894940642E+00    0.1368418433E-01
    0.2356259406E+01   -0.2891710492E-01    0.4018183603E+00    0.1422965669E-01
    0.2413075176E+01   -0.2961437431E-01    0.4141764681E+00    0.1480097229E-01
    0.2472186303E+01   -0.3033981340E-01    0.4265538994E+00    0.1539939991E-01
    0.2533685519E+01   -0.3109456022E-01    0.4389363123E+00    0.1602625287E-01
    0.2597669304E+01   -0.3187979881E-01    0.4513095695E+00    0.1668289003E-01
    0.2664238034E+01   -0.3269676105E-01    0.4636597937E+00    0.1737071688E-01
    0.2733496141E+01   -0.3354672855E-01    0.4759734195E+00    0.1809118672E-01
    0.2805552275E+01   -0.3443103475E-01    0.4882372420E+00    0.1884580204E-01
    0.2880519477E+01   -0.3535106691E-01    0.5004384613E+00    0.1963611588E-01
    0.2958515353E+01   -0.3630826837E-01    0.5125647229E+00    0.2046373347E-01
